"ds sku chua lam noi dung","Danh sách chưa làm nội dung"
"Dong y nhap","Đồng ý Nhập"
"Them file can upload:","Thêm file cần đưa lên:"
"File excel co cac cot sau: Sku, so luong, vi tri kho, ghi chu, tat/mo sp.","File excel có các cột sau: Sku, số lượng, vị trí kho, ghi chú, tắt/mở sp."
"Nhap theo loai:","Nhập theo loại:"
"Nhap Dat truoc","Nhập đặt trước"
"Nhap binh thuong","Nhập bình thường"
"Vui long chon","Vui lòng chọn"
"Ton dau ky","Tồn đầu kỳ"
"Nhap NCC","Nhập NCC"
"Nhap dh huy","Nhập hủy"
"Xuat ban le","Xuất lẻ"
"Ton cuoi ky","Tồn cuối kỳ"
"Xuat phi","Xuất phí"
"Xuat hoan tra","Xuất trả"
"Xuat ban si","Xuất sỉ"
"Kiem ke kho","Kiểm kê kho"
"Nhap NCC(dat truoc)","Nhập từ NCC(đặt trước)"
"Lich su nhap / xuat kho: ","Lịch sử nhập / xuất kho: "
"Ban da chac chan nhap kho theo loai nay!","Bạn đã chắc chắn nhập kho theo loại này!"
"Kiem ke kho","Kiểm kê kho"
"Lich su kiem ke kho","Lịch sử các kỳ kiểm kê kho"
"Lich su xuat nhap kho","Lịch sử xuất/nhập trong kỳ"
"So luong ton tren web :","Số lượng tồn trên web :"
"So luong chua xu ly :","Số lượng chưa xử lý :"
"Xuat loi","Xuất lỗi"
"Ngay xuat","Ngày xuất"
"Loc theo nganh hang:","Chọn lọc theo ngành hàng:"
"So luong bi treo :","Số lượng bị treo :"
"That thoat trong ky :","Số lượng trên lệt trong kỳ :"
"Cac muc can quan tam","Các mục cần quan tâm"
"Don hang","Đơn hàng"
"Cac don hang chua xu ly:","Các đơn hàng chưa xử lý:"
"That thoat","Thất thoát"
"Xuat ban si sp","Xuất bán sỉ"
"Xuat hoan tra sp","Xuất hoàn trả"
"Xuat phi sp","Xuất phí"
"Xuat loi sp","Xuất lỗi"
"Dong y xuat","Đồng ý xuất"
"Xuat theo loai:","Xuất theo loại:"
"Xuat kho","Xuất kho"
"Ban da chac chan xuat kho theo loai nay!","Bạn đã chắc chắn xuất kho theo loại này!"
"Co 5 cot: Sku, so luong, ma ke, ghi chu, bat/tat san pham","Có 5 cột: Sku, số lượng, mã kệ, ghi chú, bật/tắt sản phẩm"
"Xuat tam","Xuất tạm"
"Vui long chon san pham can thu hoi","Vui lòng chọn sản phẩm cần thu hồi!"
"Thu hoi khong thanh cong","Thu hồi sản phẩm không thành công!"
"Da thu hoi san pham va nhap kho","Đã thu hồi sản phẩm và nhập kho"
"Thu hoi xuat tam","Thu hồi xuất tạm"
"Quan ly ton kho","Quản lý tồn kho"
"Waiting shelf List","Kệ hàng pre-order"
"Waiting input stock Add","Quản lí pre-order"
"Waiting preorder stock List","Danh sách Pre-order & chờ nhập kho"
"Waiting Preorder List","Danh sách sản phầm pre-order & chờ nhập kho"
"Waiting Stock Manager","Danh sách tất cả đơn hàng chờ nhập kho"
"Shelf Manager","Danh sách kệ hàng có Pre-order & chờ nhập kho"
"Erp Update Shelf Manage","Thêm kệ hàng Pre-order"
"Shelf Code","Mã kệ hàng Pre-order"
"Shelf Name","Tên kệ hàng Pre-order"
"Waiting input stock List","Danh sách đh chờ nhập kho"
"Waiting preorder stock List","Danh sách sp chờ nhập kho"
"Quan ly tu dong hoan thanh don hang","Quản lý tự động hoàn thành đơn hàng"
"Them don hang tu dong hoan thanh","Thêm đơn hàng tự động hoàn thành"
"Them danh sach","Thêm danh sách"
"Them file","Thêm file"
"Phai la file excel, co 1 cot: barcode","Phải là file excel: có 1 cột là barcode"
"Them","Thêm"
"Them don hang :","Thêm đơn hàng :"
#######################################Reports#############################
"Dh-xndh","XN đơn hàng"
"xndh-in","In"
"in-pclh","PC lấy hàng"
"pclh-xnlx","XN lấy xong"
"xnlx-pcbg","PC bao gói"
"pcbg-xnbgx","XN Bao gói xong"
"xnbgx-ktdh","Kiểm tra ĐH"
"ktdh-xk","Xuất kho"
"tongthoigian","Tổng thời gian"
"chonhapkho","Chờ nhập kho"
"Loc theo thuong hieu:","Chọn lọc theo thương hiệu:"
"Danh sach xu ly kiem tra don hang","Danh sách xử lý kiểm tra và xuất đơn hàng"
"Checked order and export list","Kiểm tra và Xuất đơn hàng"
"firstname","Họ"
"lastname","Tên"
"street","Địa chỉ nhận"
"region","Tên Tỉnh"
"Mabuudien","Mã Tỉnh"
"Mabuudien","Mã Tỉnh"
"Summarizing Post delivery","Tổng kết giao hàng bưu điện"

